feature,importance
cases_roll_mean_7,0.6294849403981271
cases_roll_mean_14,0.26553781666194315
cases_roll_std_14,0.06056496355473428
cases_roll_std_7,0.028521190362214854
week_of_year,0.004082748154624667
month_sin,0.0034120547488954846
days_since_start,0.0025927856813810547
deaths_roll_mean_14,0.0012254059300295743
month_cos,0.0012253898499768419
month,0.000637405254707088
current_new_cases,0.0006079953892634064
cases_lag_7,0.000525761216865478
deaths_roll_mean_7,0.0004378052592977891
cases_lag_2,0.00028983826236890503
cases_lag_14,0.00021035702006978927
cases_lag_1,0.00020191668363330866
quarter,0.00012019407968527632
cases_lag_3,0.00011682878713530386
cases_trend_7,9.16430049081245e-05
deaths_lag_14,2.6067257358848624e-05
current_new_deaths,2.5532103604091213e-05
deaths_lag_1,1.825574386808223e-05
dow_sin,1.4149415087423194e-05
day_of_week,1.009901787153481e-05
dow_cos,9.51290329236983e-06
deaths_lag_7,8.568677306697595e-06
is_weekend,7.745817495634516e-07
