county,negative_case_days,negative_death_days,total_case_correction_amount,total_death_correction_amount
Anderson,107,1,2811.0,1.0
Andrews,2,0,863.0,0.0
Angelina,5,2,4637.0,2.0
Aransas,4,0,26.0,0.0
Archer,6,0,30.0,0.0
Armstrong,9,0,62.0,0.0
Atascosa,25,0,1067.0,0.0
Austin,17,1,37.0,2.0
Bailey,15,0,69.0,0.0
Bandera,11,0,166.0,0.0
Bastrop,10,1,1467.0,1.0
Baylor,9,0,55.0,0.0
Bee,82,4,522.0,4.0
Bell,2,7,367.0,8.0
Bexar,1,6,95.0,10.0
Blanco,11,0,74.0,0.0
Borden,3,0,10.0,0.0
Bosque,1,0,260.0,0.0
Bowie,22,7,851.0,7.0
Brazoria,11,3,279.0,3.0
Brazos,0,1,0.0,1.0
Brewster,34,0,383.0,0.0
Briscoe,7,0,24.0,0.0
Brooks,11,0,58.0,0.0
Brown,1,1,68.0,24.0
Burleson,10,0,495.0,0.0
Burnet,19,3,468.0,6.0
Caldwell,17,0,754.0,0.0
Calhoun,8,1,134.0,1.0
Callahan,5,0,23.0,0.0
Cameron,3,1,4775.0,6.0
Camp,17,0,64.0,0.0
Carson,10,0,223.0,0.0
Cass,9,2,78.0,5.0
Castro,14,0,121.0,0.0
Chambers,1,3,2030.0,8.0
Cherokee,5,0,1495.0,0.0
Childress,68,0,205.0,0.0
Clay,7,4,55.0,4.0
Cochran,7,0,67.0,0.0
Coke,27,0,188.0,0.0
Coleman,5,0,64.0,0.0
Collin,5,10,1757.0,18.0
Collingsworth,11,0,15.0,0.0
Colorado,16,0,54.0,0.0
Comal,0,1,0.0,1.0
Comanche,10,0,11.0,0.0
Concho,20,1,176.0,1.0
Cooke,6,1,194.0,1.0
Coryell,60,0,1255.0,0.0
Cottle,2,0,2.0,0.0
Crane,29,1,363.0,8.0
Crockett,25,1,256.0,2.0
Crosby,13,2,268.0,2.0
Culberson,19,0,83.0,0.0
Dallam,41,38,547.0,38.0
Dallas,3,2,23648.0,2.0
Dawson,2,0,506.0,0.0
DeWitt,63,1,2255.0,3.0
Deaf Smith,8,7,146.0,10.0
Delta,3,1,3.0,1.0
Denton,1,9,1775.0,18.0
Dickens,18,0,39.0,0.0
Dimmit,9,1,128.0,1.0
Donley,12,0,79.0,0.0
Duval,41,0,121.0,0.0
Eastland,6,0,52.0,0.0
Ector,2,2,16.0,22.0
Edwards,5,0,34.0,0.0
El Paso,2,8,31052.0,10.0
Ellis,13,2,514.0,2.0
Erath,9,1,338.0,1.0
Falls,54,0,384.0,0.0
Fannin,41,3,175.0,3.0
