county,raw_case_sum,clean_case_sum,raw_death_sum,clean_death_sum,case_correction_amount,death_correction_amount,case_cleaning_delta,death_cleaning_delta
Anderson,11282.0,14093.0,256.0,257.0,2811.0,1.0,2811.0,1.0
Andrews,4476.0,5339.0,74.0,74.0,863.0,0.0,863.0,0.0
Angelina,13509.0,18146.0,506.0,508.0,4637.0,2.0,4637.0,2.0
Aransas,5733.0,5759.0,102.0,102.0,26.0,0.0,26.0,0.0
Archer,2621.0,2651.0,34.0,34.0,30.0,0.0,30.0,0.0
Armstrong,648.0,710.0,11.0,11.0,62.0,0.0,62.0,0.0
Atascosa,15355.0,16422.0,253.0,253.0,1067.0,0.0,1067.0,0.0
Austin,7181.0,7218.0,85.0,87.0,37.0,2.0,37.0,2.0
Bailey,1726.0,1795.0,39.0,39.0,69.0,0.0,69.0,0.0
Bandera,4195.0,4361.0,81.0,81.0,166.0,0.0,166.0,0.0
Bastrop,26056.0,27523.0,255.0,256.0,1467.0,1.0,1467.0,1.0
Baylor,904.0,959.0,33.0,33.0,55.0,0.0,55.0,0.0
Bee,10416.0,10938.0,156.0,160.0,522.0,4.0,522.0,4.0
Bell,89469.0,89836.0,946.0,954.0,367.0,8.0,367.0,8.0
Bexar,703565.0,703660.0,6524.0,6534.0,95.0,10.0,95.0,10.0
Blanco,3264.0,3338.0,36.0,36.0,74.0,0.0,74.0,0.0
Borden,115.0,125.0,2.0,2.0,10.0,0.0,10.0,0.0
Bosque,4637.0,4897.0,76.0,76.0,260.0,0.0,260.0,0.0
Bowie,23997.0,24848.0,456.0,463.0,851.0,7.0,851.0,7.0
Brazoria,118984.0,119263.0,1040.0,1043.0,279.0,3.0,279.0,3.0
Brazos,77763.0,77763.0,438.0,439.0,0.0,1.0,0.0,1.0
Brewster,1518.0,1901.0,35.0,35.0,383.0,0.0,383.0,0.0
Briscoe,565.0,589.0,8.0,8.0,24.0,0.0,24.0,0.0
Brooks,2187.0,2245.0,57.0,57.0,58.0,0.0,58.0,0.0
Brown,15880.0,15948.0,238.0,262.0,68.0,24.0,68.0,24.0
Burleson,5653.0,6148.0,70.0,70.0,495.0,0.0,495.0,0.0
Burnet,13214.0,13682.0,183.0,189.0,468.0,6.0,468.0,6.0
Caldwell,17103.0,17857.0,186.0,186.0,754.0,0.0,754.0,0.0
Calhoun,7001.0,7135.0,54.0,55.0,134.0,1.0,134.0,1.0
Callahan,3528.0,3551.0,81.0,81.0,23.0,0.0,23.0,0.0
Cameron,131083.0,135858.0,2122.0,2128.0,4775.0,6.0,4775.0,6.0
Camp,3561.0,3625.0,78.0,78.0,64.0,0.0,64.0,0.0
Carson,1546.0,1769.0,38.0,38.0,223.0,0.0,223.0,0.0
Cass,8917.0,8995.0,209.0,214.0,78.0,5.0,78.0,5.0
Castro,2710.0,2831.0,49.0,49.0,121.0,0.0,121.0,0.0
Chambers,13157.0,15187.0,141.0,149.0,2030.0,8.0,2030.0,8.0
