county,extreme_days,total_days,max_new_cases,upper_iqr3,extreme_pct
Anderson,76,1087,1051.0,36.0,6.991720331186753
Andrews,104,1084,295.0,16.0,9.59409594095941
Angelina,107,1093,564.0,48.0,9.789569990850868
Aransas,38,1083,177.0,28.0,3.508771929824561
Archer,51,1043,70.0,12.0,4.88974113135187
Armstrong,22,1074,74.0,4.0,2.0484171322160147
Atascosa,71,1094,563.0,55.0,6.489945155393053
Austin,28,1094,160.0,33.0,2.5594149908592323
Bailey,41,1053,171.0,8.0,3.89363722697056
Bandera,48,1079,130.0,20.0,4.448563484708063
Bastrop,50,1098,2459.0,98.0,4.553734061930783
Baylor,45,1022,126.0,4.0,4.403131115459883
Bee,39,1080,718.0,48.0,3.6111111111111107
Bell,44,1106,3559.0,380.0,3.9783001808318263
Bexar,44,1136,13446.0,3037.75,3.873239436619718
Blanco,50,1094,237.0,12.0,4.570383912248629
Borden,69,912,18.0,0.0,7.565789473684211
Bosque,41,1073,423.0,20.0,3.8210624417520966
Bowie,34,1103,825.0,113.0,3.0825022665457844
Brazoria,35,1105,3866.0,555.0,3.167420814479638
Brazos,46,1102,2451.0,327.0,4.174228675136116
Brewster,38,1057,154.0,8.0,3.595080416272469
Briscoe,225,1056,62.0,0.0,21.306818181818183
Brooks,24,1066,97.0,12.0,2.25140712945591
Brown,131,1099,1108.0,32.0,11.91992720655141
Burleson,42,1091,665.0,24.0,3.84967919340055
Burnet,30,1094,1357.0,60.0,2.742230347349177
Caldwell,49,1091,1836.0,65.0,4.491292392300641
Calhoun,65,1093,230.0,28.0,5.946935041171089
Callahan,46,1081,276.0,16.0,4.25531914893617
Cameron,30,1100,7634.0,638.0,2.727272727272727
Camp,22,1087,153.0,20.0,2.02391904323827
Carson,35,1070,278.0,8.0,3.2710280373831773
Cass,45,1099,365.0,40.0,4.094631483166515
Castro,79,1098,284.0,8.0,7.194899817850637
Chambers,103,1095,648.0,44.0,9.406392694063927
Cherokee,67,1092,928.0,40.0,6.135531135531135
Childress,82,1069,599.0,8.0,7.670720299345183
Clay,87,1087,83.0,8.0,8.003679852805888
Cochran,63,1065,95.0,4.0,5.915492957746479
Coke,70,1053,129.0,4.0,6.647673314339982
Coleman,64,1056,91.0,8.0,6.0606060606060606
Collin,39,1110,5736.0,1192.25,3.5135135135135136
Collingsworth,52,1053,71.0,4.0,4.938271604938271
Colorado,27,1087,106.0,24.0,2.483900643974241
Comal,26,1095,3349.0,224.0,2.374429223744292
Comanche,90,1087,144.0,12.0,8.27966881324747
Concho,77,1078,79.0,4.0,7.142857142857142
Cooke,50,1078,265.0,36.0,4.638218923933209
Coryell,61,1094,2432.0,72.0,5.575868372943328
Cottle,170,1061,46.0,0.0,16.022620169651272
Crane,42,1100,229.0,8.0,3.8181818181818183
Crockett,101,1022,176.0,4.0,9.882583170254403
Crosby,60,1081,321.0,8.0,5.550416281221091
Culberson,228,1007,23.0,0.0,22.641509433962266
Dallam,71,1081,389.0,8.0,6.567992599444958
Dallas,39,1109,15202.0,3187.0,3.5166816952209197
Dawson,111,1090,73.0,12.0,10.18348623853211
DeWitt,107,1100,2104.0,12.0,9.727272727272727
Deaf Smith,23,1098,388.0,32.0,2.0947176684881605
Delta,87,1080,7842.0,4.0,8.055555555555555
Denton,32,1104,43014.0,1108.0,2.898550724637681
Dickens,227,1080,41.0,0.0,21.01851851851852
Dimmit,91,1077,149.0,20.0,8.449396471680593
Donley,70,1086,101.0,4.0,6.445672191528545
Duval,50,1074,82.0,20.0,4.655493482309125
Eastland,48,1094,213.0,16.0,4.387568555758683
Ector,66,1090,1848.0,191.0,6.055045871559633
Edwards,209,1002,33.0,0.0,20.85828343313373
El Paso,60,1106,3938.0,1062.0,5.424954792043399
Ellis,58,1102,1199.0,243.0,5.263157894736842
Erath,59,1094,721.0,40.0,5.393053016453382
Falls,53,1095,574.0,16.0,4.840182648401827
Fannin,70,1099,199.0,32.0,6.369426751592357
Fayette,30,1094,466.0,24.0,2.742230347349177
Fisher,50,1043,28.0,4.0,4.793863854266539
Floyd,50,1080,249.0,8.0,4.62962962962963
Foard,139,987,24.0,0.0,14.083080040526848
Fort Bend,24,1115,9035.0,1242.0,2.1524663677130045
Franklin,41,1090,121.0,12.0,3.761467889908257
Freestone,38,1073,736.0,16.0,3.5414725069897486
Frio,53,1080,1271.0,32.0,4.907407407407407
Gaines,120,1094,59.0,8.0,10.968921389396709
Galveston,29,1106,4277.0,572.0,2.6220614828209765
Garza,79,1058,199.0,4.0,7.466918714555766
Gillespie,64,1086,240.0,24.0,5.893186003683241
Glasscock,152,1058,44.0,0.0,14.366729678638942
Goliad,94,1086,189.0,4.0,8.655616942909761
Gonzales,60,1087,269.0,20.0,5.519779208831647
Gray,51,1087,669.0,28.0,4.6918123275068995
Grayson,89,1095,1488.0,100.0,8.12785388127854
Gregg,80,1108,847.0,100.0,7.2202166064981945
Grimes,36,1094,1164.0,40.0,3.2906764168190126
Guadalupe,58,1094,1587.0,192.0,5.301645338208409
Hale,75,1094,157.0,48.0,6.855575868372943
Hall,70,1038,157.0,4.0,6.74373795761079
Hamilton,64,1081,95.0,8.0,5.920444033302498
Hansford,58,1081,248.0,8.0,5.365402405180388
Hardeman,226,1035,44.0,0.0,21.835748792270532
Hardin,63,1094,996.0,56.0,5.7586837294332724
Harris,37,1114,75982.0,4830.0,3.321364452423698
Harrison,45,1092,596.0,73.0,4.1208791208791204
Hartley,81,1068,165.0,4.0,7.584269662921349
Haskell,64,1043,106.0,4.0,6.136145733461169
Hays,59,1105,1441.0,340.0,5.339366515837104
Hemphill,98,1084,118.0,4.0,9.040590405904059
Henderson,73,1090,562.0,71.0,6.697247706422019
Hidalgo,16,1095,11157.0,1424.0,1.461187214611872
Hill,39,1089,1498.0,36.0,3.581267217630854
Hockley,53,1099,1065.0,36.0,4.822565969062785
Hood,57,1092,827.0,60.0,5.21978021978022
Hopkins,32,1094,970.0,40.0,2.9250457038391224
Houston,43,1069,366.0,24.0,4.022450888681011
Howard,53,1078,1304.0,32.0,4.916512059369202
Hudspeth,70,1032,191.0,4.0,6.782945736434108
Hunt,59,1094,385.0,88.0,5.393053016453382
