feature,importance
cases_roll_mean_7,0.6086539393229684
cases_roll_mean_14,0.27897905855287897
cases_roll_std_14,0.0677607950683084
cases_roll_std_7,0.028136487659219774
week_of_year,0.004313934643616447
month_sin,0.003308096952799498
days_since_start,0.0026195780877902287
deaths_roll_mean_14,0.0013262468573145639
month_cos,0.0012251792611068279
current_new_cases,0.0007167899145786374
cases_lag_1,0.0006384543303860818
month,0.000597835613584078
deaths_roll_mean_7,0.0004283134133416258
cases_lag_2,0.000379820597860204
cases_lag_7,0.00027653497518696633
cases_lag_14,0.00018796703070507036
quarter,0.00013320035905102457
cases_lag_3,0.00010566030429700205
cases_trend_7,9.954499614796085e-05
day_of_week,2.4774082626927853e-05
deaths_lag_14,2.4122195318625752e-05
dow_sin,1.888886559290603e-05
current_new_deaths,1.748137370930531e-05
dow_cos,1.0305233711543367e-05
deaths_lag_7,9.518183903520526e-06
deaths_lag_1,7.126694692908901e-06
is_weekend,3.454293024409578e-07
