feature,coefficient,abs_coefficient
num__cases_roll_mean_7,417.32027012312994,417.32027012312994
num__cases_roll_mean_14,251.50839504628365,251.50839504628365
num__current_new_cases,217.16751828722602,217.16751828722602
num__cases_lag_1,203.8152946741037,203.8152946741037
num__cases_lag_3,176.9835014863999,176.9835014863999
num__cases_lag_2,175.21179948032338,175.21179948032338
num__cases_lag_7,164.87703794918926,164.87703794918926
num__cases_roll_std_14,123.49862493115255,123.49862493115255
num__deaths_roll_mean_7,51.284942315465564,51.284942315465564
num__cases_trend_7,50.04527872965898,50.04527872965898
num__days_since_start,-30.992270772035187,30.992270772035187
num__cases_roll_std_7,-28.67905068188454,28.67905068188454
num__cases_lag_14,-25.476335476620587,25.476335476620587
num__month,-25.306401159189196,25.306401159189196
num__week_of_year,24.797379627897115,24.797379627897115
num__deaths_roll_mean_14,19.65364100292106,19.65364100292106
num__month_sin,-18.46612208188446,18.46612208188446
county__county_Harris,17.1169069725727,17.1169069725727
num__month_cos,13.381573586868976,13.381573586868976
county__county_Bexar,13.121174778480302,13.121174778480302
county__county_Tarrant,9.726502515576962,9.726502515576962
num__deaths_lag_7,-9.543322302058307,9.543322302058307
num__quarter,-8.445591070637885,8.445591070637885
county__county_Dallas,7.687879188134369,7.687879188134369
num__is_weekend,7.264001099470283,7.264001099470283
num__dow_cos,6.846502364423601,6.846502364423601
num__deaths_lag_1,-5.79607347940672,5.79607347940672
county__county_Hidalgo,5.07776480470476,5.07776480470476
county__county_Travis,5.035125734922292,5.035125734922292
county__county_Collin,4.359616486520899,4.359616486520899
county__county_Fort Bend,3.735109235806408,3.735109235806408
county__county_Denton,3.1804349239174567,3.1804349239174567
county__county_El Paso,2.9602887644520655,2.9602887644520655
num__day_of_week,2.8142504032798445,2.8142504032798445
county__county_Cameron,2.357721042976445,2.357721042976445
county__county_Williamson,2.223646364191761,2.223646364191761
county__county_Montgomery,1.883081510985937,1.883081510985937
county__county_Webb,1.6377061109096205,1.6377061109096205
num__deaths_lag_14,1.244421965020548,1.244421965020548
county__county_Bell,1.0499609501015656,1.0499609501015656
county__county_Nueces,0.9650430237080765,0.9650430237080765
county__county_Galveston,0.9449238455511499,0.9449238455511499
county__county_Brazoria,0.914942211389422,0.914942211389422
county__county_Hays,0.8103958052276623,0.8103958052276623
num__current_new_deaths,0.7409888660405034,0.7409888660405034
county__county_Lubbock,0.7272858456088317,0.7272858456088317
county__county_Brazos,0.6740629393146615,0.6740629393146615
county__county_McLennan,0.6401364463182744,0.6401364463182744
county__county_Jefferson,0.5608057904141731,0.5608057904141731
county__county_Dallam,-0.5070027560447509,0.5070027560447509
county__county_Hartley,-0.47806730734615926,0.47806730734615926
county__county_Fisher,-0.47520196067536197,0.47520196067536197
county__county_Newton,-0.4747762476719298,0.4747762476719298
county__county_Wheeler,-0.4745638963986663,0.4745638963986663
county__county_Lipscomb,-0.4741450502207694,0.4741450502207694
county__county_Sabine,-0.47398628719812036,0.47398628719812036
county__county_Eastland,-0.47346460943530516,0.47346460943530516
county__county_Presidio,-0.47189722276273555,0.47189722276273555
county__county_Stephens,-0.47138744761401646,0.47138744761401646
county__county_Hardeman,-0.4705461016893271,0.4705461016893271
county__county_Clay,-0.4698217558055693,0.4698217558055693
county__county_Motley,-0.46968004097712435,0.46968004097712435
county__county_Jeff Davis,-0.46924976113165634,0.46924976113165634
county__county_Baylor,-0.4680431865047408,0.4680431865047408
county__county_Sterling,-0.4674317801969529,0.4674317801969529
county__county_McMullen,-0.46661252025796746,0.46661252025796746
county__county_Throckmorton,-0.46648654879694956,0.46648654879694956
county__county_Culberson,-0.4662080004451836,0.4662080004451836
county__county_Roberts,-0.46489014770629394,0.46489014770629394
county__county_Kent,-0.46482103163845506,0.46482103163845506
county__county_King,-0.464323274247388,0.464323274247388
county__county_Collingsworth,-0.46431645662740273,0.46431645662740273
county__county_Foard,-0.46428092284824085,0.46428092284824085
county__county_Knox,-0.46397626123089675,0.46397626123089675
county__county_Terrell,-0.46385979277331324,0.46385979277331324
county__county_San Augustine,-0.4637713028665006,0.4637713028665006
